video_id,transcript,label,emotion,path
1_eps3,Aku setuju. Kamu boleh beli apa saja yang kamu mahu.,positive,joy,Eps3/1.mp4
2_eps3,pentingan piring ya dari pada aku.,negative,sadness,Eps3/2.mp4
3_eps3,Gimana sih aku pikir ada piring pecah,negative,anger,Eps3/3.mp4
4_eps3,Kamu gak ngeliat nih aku jatuh.,negative,anger,Eps3/4.mp4
5_eps3,Ya udah pake yang itu aja,negative,anger,Eps3/5.mp4
6_eps3,Terus ini...,positive,anger,Eps3/6.mp4
7_eps3,Ya beda dong.,negative,anger,Eps3/7.mp4
8_eps3,"Angel, ini kan bangku melukis aku, kamu tahu.",positive,anger,Eps3/8.mp4
9_eps3,Apa bedanya sama kursi biasa?,positive,anger,Eps3/9.mp4
10_eps3,Feelnya nggak dapet kalau pakai bangku yang lain.,positive,anger,Eps3/10.mp4
11_eps3,Ya beli aja.,positive,anger,Eps3/11.mp4
12_eps3,Beli gimana maksudnya?,positive,sadness,Eps3/12.mp4
13_eps3,"Harganya 5 juta, gajiku kan cuma 3 juta.",positive,sadness,Eps3/13.mp4
14_eps3,Terus selama 2 bulan itu aku ngelukis pake apa?,positive,sadness,Eps3/14.mp4
15_eps3,gimana kalau nggak usah ngelukis lagi seumur hidup.,positive,anger,Eps3/15.mp4
16_eps3,"Selamat pagi, Mas Adi.",positive,joy,Eps3/16.mp4
17_eps3,Lagi gak mood.,negative,sadness,Eps3/17.mp4
18_eps3,Wish,positive,anger,Eps3/18.mp4
19_eps3,Bas.,positive,anger,Eps3/19.mp4
20_eps3,Iya iya.,positive,neutral,Eps3/20.mp4
21_eps3,¡Bas!,negative,anger,Eps3/21.mp4
22_eps3,"Iya iya. Oke, ampun.",positive,neutral,Eps3/22.mp4
23_eps3,Bastian!,negative,anger,Eps3/23.mp4
24_eps3,Aku lagi sebel sama Angel.,negative,sadness,Eps3/24.mp4
25_eps3,Kenapa gak beli sendiri aja sih mas,positive,neutral,Eps3/25.mp4
