video_id,transcript,label,emotion,path
1_eps4,Bee.,positive,sadness,Eps4/1.mp4
2_eps4,Kamu kok makan es krim di tempat tidur sih?,positive,neutral,Eps4/2.mp4
3_eps4,Ya enggak lah,positive,anger,Eps4/3.mp4
4_eps4,Es krim itu kan banyak gulanya.,positive,anger,Eps4/4.mp4
5_eps4,Kalau tumpah.,positive,anger,Eps4/5.mp4
6_eps4,Kan tempat tidur kita banyak semutnya.,positive,anger,Eps4/6.mp4
7_eps4,Dikasih whipcream enak nih.,positive,joy,Eps4/7.mp4
8_eps4,"Uh, no, thank you. Udah kenyang.",positive,joy,Eps4/8.mp4
9_eps4,Rasanya tadi ada yang bilang deh.,positive,joy,Eps4/9.mp4
10_eps4,"No thank you, udah kenyang",positive,joy,Eps4/10.mp4
11_eps4,Ini kayaknya cocok sama bawang goreng deh.,positive,joy,Eps4/11.mp4
12_eps4,Ada di lemari. Di yang kedua situ.,positive,joy,Eps4/12.mp4
13_eps4,"Hi, B.",positive,joy,Eps4/13.mp4
14_eps4,Hi.,positive,joy,Eps4/14.mp4
15_eps4,Tumben pulang diem-diem aja. Biasanya udah teriak-teriak manggilin aku.,positive,joy,Eps4/15.mp4
16_eps4,Oh.,positive,neutral,Eps4/16.mp4
17_eps4,Tenggorokan aku lagi sakit.,positive,sadness,Eps4/17.mp4
18_eps4,Aku males teriak-teriak. Lagian kalau aku teriak sorenya begini kamu gak ngenalin.,positive,sadness,Eps4/18.mp4
19_eps4,"Itu apaan, Bas?",positive,neutral,Eps4/19.mp4
20_eps4,Gada apa-apa.,positive,joy,Eps4/20.mp4
21_eps4,"Jangan, aku habis bunuh tikus. Ih, serem.",positive,sadness,Eps4/21.mp4
22_eps4,Bukannya kamu paling takut sama tikus ya?,positive,anger,Eps4/22.mp4
23_eps4,Mana mungkin kamu bunuh tikus?,positive,anger,Eps4/23.mp4
24_eps4,Iya iya.,positive,neutral,Eps4/24.mp4
25_eps4,Biasanya aku emang takut sama tikus.,positive,joy,Eps4/25.mp4
26_eps4,Tapi tikus yang ini udah keterlaluan.,positive,joy,Eps4/26.mp4
27_eps4,masa tadi aku baru pulang dia tidur-tiduran di atas sofa.,positive,anger,Eps4/27.mp4
28_eps4,Aku bunuh aja.,positive,anger,Eps4/28.mp4
29_eps4,Sayang kamu ke atas duluan ya nanti aku nyusul ya Aku mau buang dulu tikusnya ya,positive,joy,Eps4/29.mp4
30_eps4,Atau kamu yang mau buangin?,positive,joy,Eps4/30.mp4
31_eps4,Enggak kan?,positive,joy,Eps4/31.mp4
32_eps4,"Okay, boss.",positive,neutral,Eps4/32.mp4
33_eps4,"Aduh Bastian, selama ini kamu pikir aku selugu apa sih?",positive,joy,Eps4/33.mp4
34_eps4,Aku tau kok kalau kamu mau bikinin aku surprise party buat ulang tahunku besok.,positive,joy,Eps4/34.mp4
35_eps4,"Muncul sama tamu-tamu, abis itu teriak.",positive,joy,Eps4/35.mp4
36_eps4,Surprise!,positive,joy,Eps4/36.mp4
37_eps4,ketebak banget sih,positive,anger,Eps4/37.mp4
38_eps4,Kamu gak bakal bisa nebak kalau aku bikinin surprise party buat kamu.,positive,joy,Eps4/38.mp4
39_eps4,Kamu pasti senang deh,positive,joy,Eps4/39.mp4
40_eps4,"Aduh, Bas. Sebenarnya aku paling gak suka deh sama surprise party.",positive,anger,Eps4/40.mp4
41_eps4,Kayak anak kecil tau gak sih?,positive,anger,Eps4/41.mp4
42_eps4,Dan aku berasa bodoh aja.,positive,anger,Eps4/42.mp4
43_eps4,Kok dicabut listriknya?,positive,neutral,Eps4/43.mp4
44_eps4,Biar hemat listrik,positive,neutral,Eps4/44.mp4
45_eps4,Ini kenapa?,positive,neutral,Eps4/45.mp4
46_eps4,Angel dengerin aku ya.,positive,neutral,Eps4/46.mp4
47_eps4,"Dari pertama kali aku ketemu sama kamu, aku tahu kamu orangnya hemat.",positive,neutral,Eps4/47.mp4
48_eps4,Menuju pelit,positive,anger,Eps4/48.mp4
49_eps4,"Tapi dengan kamu nyambut colokan ini, itu gak ngaruh kali.",positive,anger,Eps4/49.mp4
50_eps4,Ga ngaruh gimana?,positive,neutral,Eps4/50.mp4
51_eps4,Emang kamu pikir dengan kamu cabut akan hemat?,negative,anger,Eps4/51.mp4
52_eps4,Enggak.,positive,anger,Eps4/52.mp4
53_eps4,Kamu tuh so tau ya.,negative,anger,Eps4/53.mp4
54_eps4,Aku tadi baru baca di internet.,positive,anger,Eps4/54.mp4
55_eps4,"Untuk menghemat listrik, Anda harus mencabut kabel listrik dari peralatan Anda.",positive,neutral,Eps4/55.mp4
56_eps4,Oh yeah?,positive,anger,Eps4/56.mp4
57_eps4,Internet,positive,neutral,Eps4/57.mp4
58_eps4,Internet,positive,anger,Eps4/58.mp4
59_eps4,Emang internet selalu bener ya?,negative,anger,Eps4/59.mp4
60_eps4,Aku sih lebih percaya sama internet daripada sama seniman yang sok ngerti elektronik.,negative,anger,Eps4/60.mp4
61_eps4,"Oh, kamu bilang aku sok ngerti.",negative,anger,Eps4/61.mp4
62_eps4,Semua orang juga tahu,negative,anger,Eps4/62.mp4
63_eps4,Karena apa? Di microwave itu ada tombol on dan off-nya.,negative,anger,Eps4/63.mp4
64_eps4,"Kalau tombolnya off, berarti nggak makan listrik. Maka nggak bayar listrik.",negative,anger,Eps4/64.mp4
