video_id,transcript,label,emotion,path
1_eps7,"Asik! Akhirnya bisa goes bareng kamu, Bi!",positive,joy,Eps7/1.mp4
2_eps7,Cihuy.,positive,joy,Eps7/2.mp4
3_eps7,Hah?,negative,anger,Eps7/3.mp4
4_eps7,Apaan?,negative,anger,Eps7/4.mp4
5_eps7,Jogging.,positive,anger,Eps7/5.mp4
6_eps7,"Kamu ini aneh deh, waktu itu ngajak aku yoga.",negative,anger,Eps7/6.mp4
7_eps7,Sekarang ngajak aku jogging.,negative,anger,Eps7/7.mp4
8_eps7,Kamu ini pengen aku jadi apa sih?,negative,anger,Eps7/8.mp4
9_eps7,Aku tuh cuma mau kamu sehat,positive,neutral,Eps7/9.mp4
10_eps7,"Kalau kamu pengen suami kamu sehat, mendingan kamu cari suami atlet di sana.",negative,anger,Eps7/10.mp4
11_eps7,"Kalau enggak, aku nggak blinkeris lagi.",positive,neutral,Eps7/11.mp4
12_eps7,Iya bi hujan.,positive,sadness,Eps7/12.mp4
13_eps7,Padahal tadi abis gowes aku mau ngajakin kamu makan bubur ayam loh di Monas.,positive,sadness,Eps7/13.mp4
14_eps7,"Wah, nggak mau ah bi.",negative,anger,Eps7/14.mp4
15_eps7,"Kan kemarin kamu sendiri yang beli semua DVD-nya, pasti gak ada yang sesuai selera aku deh.",negative,anger,Eps7/15.mp4
16_eps7,Padahal kan kamu tau aku sukanya film-film action keras gitu loh.,positive,anger,Eps7/16.mp4
17_eps7,Little mermaid?,positive,joy,Eps7/17.mp4
18_eps7,"Pake acara hujan, gagal deh joggingnya.",negative,sadness,Eps7/18.mp4
19_eps7,"Ya, gajadi beli keris deh?",negative,sadness,Eps7/19.mp4
20_eps7," Seneng, puas? gajadi jogging",negative,anger,Eps7/20.mp4
21_eps7, Dia bawa bayi segala.,positive,anger,Eps7/21.mp4
22_eps7,Kangen ya sama bayi ya?,positive,neutral,Eps7/22.mp4
23_eps7,Nggak relevan tau gak?,negative,anger,Eps7/23.mp4
24_eps7,"Di dalam tubuh yang sehat, terdapat jiwa yang kuat.",positive,neutral,Eps7/24.mp4
25_eps7,"Ehm enggak, kamu salah.",positive,anger,Eps7/25.mp4
26_eps7,Tubuh yang sehat itu tidak perlu olahraga,positive,neutral,Eps7/26.mp4
27_eps7,Kan aku olahraga.,positive,anger,Eps7/27.mp4
28_eps7,Aku tuh pikir kamu kesurupan tau gak?,negative,anger,Eps7/28.mp4
29_eps7,terus berjam-jam di depan kanvas sampai nggak gerak.,negative,anger,Eps7/29.mp4
30_eps7,Heh.,negative,anger,Eps7/30.mp4
31_eps7,Kamu tau aku ngapain tuh?,positive,anger,Eps7/31.mp4
32_eps7,Itu nyari inspirasi tau gak?,positive,anger,Eps7/32.mp4
33_eps7,"Kamu udah gak ngerti seni, udah. Diam aja, ya.",negative,anger,Eps7/33.mp4
34_eps7,Dasar MTB.,negative,anger,Eps7/34.mp4
