video_id,transcript,label,emotion,path
1_eps1,Kamu tunggu aja. Oke. Bentar ya gak boleh ngintip ya. Iya. Aku tunggu sampai tiga kamu baru boleh lihat. Satu. Tiga.,positive,neutral,Eps1/1.mp4
2_eps1,Kenapa mataku harus pake ditutup segala sih?,positive,neutral,Eps1/2.mp4
3_eps1,Kan aku udah sering kesini.,positive,neutral,Eps1/3.mp4
4_eps1,Oh hehe.,positive,joy,Eps1/4.mp4
5_eps1,Biar kayak di film-film sayang.,positive,joy,Eps1/5.mp4
6_eps1,Oh gitu.,positive,joy,Eps1/6.mp4
7_eps1,"Kalau gitu, yeay, Bastian aku senang banget sama rumah baru kita. Oh give me a hug.",positive,joy,Eps1/7.mp4
8_eps1,Kamu ngapain sih.,negative,anger,Eps1/8.mp4
9_eps1,Ah kamu paling bisa deh,positive,joy,Eps1/9.mp4
10_eps1,Ngelukis mulu.,negative,anger,Eps1/10.mp4
11_eps1,Bantu aku beres-beres rumah dong.,negative,anger,Eps1/11.mp4
12_eps1,Beres-beres rumah bisa ntar kali.,negative,neutral,Eps1/12.mp4
13_eps1,"Nih kamu liat nih, mood ngelukisku sekarang lagi bagus. Ya, jadi tolong jangan ganggu.",negative,neutral,Eps1/13.mp4
14_eps1,Ini tuh kayaknya poop cicak tuh.,positive,neutral,Eps1/14.mp4
15_eps1,"Enggak mau, enggak mau. Angel, angel. Ini enggak sopan.",negative,anger,Eps1/15.mp4
16_eps1,Apa yang membuat kamu berpikir aku mau melihat pup cicak?,positive,neutral,Eps1/16.mp4
17_eps1,Kamu kenapa sih gak bisa ramah dikit?,negative,anger,Eps1/17.mp4
18_eps1,Aku capek kalau lagi arisan ibu-ibu diomongin terus kamunya.,negative,anger,Eps1/18.mp4
19_eps1,"Kenapa sih suaminya cuek banget, gak pernah ngumpul sama tetangga-tetangga gitu?",negative,anger,Eps1/19.mp4
20_eps1,Selamat pagi Mas Adi.,positive,neutral,Eps1/20.mp4
21_eps1,"Kita tetangga yang di sini, ini rumahnya.",positive,neutral,Eps1/21.mp4
22_eps1,"Aku ramah, aku tadi aku jawab, aku bilang hmm gitu.",positive,neutral,Eps1/22.mp4
23_eps1,Eh kamu ah.,negative,anger,Eps1/23.mp4
24_eps1,Saatnya mulai bergaul. Yuk!,positive,neutral,Eps1/24.mp4
25_eps1,Ngapain sih.,negative,anger,Eps1/25.mp4
26_eps1,Baru pindah yah?,positive,neutral,Eps1/26.mp4
27_eps1,"Kalau saya sales di perusahaan sabun cuci gitu lah, baru juga sebulanan kerja.",positive,neutral,Eps1/27.mp4
28_eps1,Kalau Mbak Angel sama Mas Adi kerja di mana ya?,positive,neutral,Eps1/28.mp4
29_eps1,Hai.,positive,neutral,Eps1/29.mp4
30_eps1,Hai.,positive,neutral,Eps1/30.mp4
31_eps1,Hai.,positive,neutral,Eps1/31.mp4
32_eps1,"Haha, tapi pas pasan.",positive,joy,Eps1/32.mp4
33_eps1,"Iya mbak, baru juga kemarin kita pindah.",positive,neutral,Eps1/33.mp4
34_eps1,Ya aku kan gak suka kamu nyuruh aku pergi-pergi sama dia kayak gitu.,negative,anger,Eps1/34.mp4
35_eps1,Em saya Angel.,positive,neutral,Eps1/35.mp4
36_eps1,Yeah.,positive,neutral,Eps1/36.mp4
37_eps1,Pasti baik kayak malaikat.,positive,joy,Eps1/37.mp4
38_eps1,Malaikat pencabut nyawa.,positive,neutral,Eps1/38.mp4
39_eps1,ini suami saya.,positive,neutral,Eps1/39.mp4
40_eps1,Adi Adi,positive,neutral,Eps1/40.mp4
41_eps1,"Oh iya, hampir lupa. Nama saya Bastian, ini istri saya Bi.",positive,neutral,Eps1/41.mp4
42_eps1,Bee? Bee?,positive,neutral,Eps1/42.mp4
43_eps1,"Nama saya sih Bintang, Mas. Tapi sejak kita pacaran dari SMA, Bastian selalu manggil saya Bi.",positive,neutral,Eps1/43.mp4
44_eps1,"Iya, Bee. Soalnya seri saya ini kan manis kayak madu.",positive,joy,Eps1/44.mp4
45_eps1,"Kalau yang ini pahit, enaknya dipanggil apa ya?",positive,neutral,Eps1/45.mp4
46_eps1,Kerja dimana?,positive,neutral,Eps1/46.mp4
47_eps1,Nanti kalau dia mikirnya aku mau berteman sama dia gimana?,negative,anger,Eps1/47.mp4
48_eps1,"Kalau saya di law firm, kalau suami saya guru gambar di SMA Matahari.",positive,neutral,Eps1/48.mp4
49_eps1,"Oh, guru gambar. Wah, keren banget tuh, Mas. Keren, ya?",positive,neutral,Eps1/49.mp4
50_eps1,"Ya, bisa hidup lah.",positive,neutral,Eps1/50.mp4
51_eps1,"Eh, aku punya ide. Kenapa Bastian sama kamu gak berangkat bareng aja?",positive,neutral,Eps1/51.mp4
52_eps1,"Oh gasuah lah, gausah gausah.",positive,neutral,Eps1/52.mp4
53_eps1,"Enggak kok, gak repot kok. Saya malah seneng kan berangkatnya jadi ada temen.",positive,neutral,Eps1/53.mp4
54_eps1,"Aku titip ya barang satu ini, ya? Permisi. Terima kasih. Yuk.",positive,neutral,Eps1/54.mp4
55_eps1,"Mas Adi, silakan.",positive,neutral,Eps1/55.mp4
56_eps1,Hi.,positive,neutral,Eps1/56.mp4
57_eps1,Hai juga,positive,neutral,Eps1/57.mp4
58_eps1,Gimana tadi? Udah akrab sama tetangga baru?,positive,neutral,Eps1/58.mp4
59_eps1,Kamu ngapain sih nyuruh aku pergi sama Bastian?,negative,anger,Eps1/59.mp4
60_eps1,"Supaya kamu gaul sama manusia juga, ga sama lukisan terus.",positive,neutral,Eps1/60.mp4
61_eps1,Hm males.,negative,anger,Eps1/61.mp4
62_eps1,Itu siapa tuh?,positive,neutral,Eps1/62.mp4
63_eps1,"Iya sayang, meja pimpong.",positive,joy,Eps1/63.mp4
64_eps1,Ini tadi aku bikin puding buah buat Mbak Angel dan Mas Adi. Mari dicoba.,positive,neutral,Eps1/64.mp4
